id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_405;0;GmbH & Co. KG;12359;46730;1900;;GKV;106873831.7;106873831.7;38593611.75;6536077.55;1345910.44;47945.82;423412.24;7881987.99;7881987.99;6522577.26;43658480.44;7356606.44;3752193.76;255645.94;;;;4120064.34;;;;;;32244714.3;37831990.81;17111465.66;10297047.5;;;6986093.74;-1112341.58;-7520392.09
C_292;0;GmbH & Co. KG;10719;70101;1976;;GKV;1393868.78;1407888.53;1539841.18;38140.91;1072009.59;9934.29;4372.31;1110150.5;1106812.71;1116985.09;11567989.44;7034963.92;0.0;0.0;;;;;;;;;;4508025.52;4669178.63;927837.74;926383.75;;;-4343980.49;1174426.51;1128108.08
C_746;0;GmbH;13353;87100;1962;323.0;GKV;3864033.84;759735.32;15008391.0;89799.8;2983.44;2983.44;;92783.24;92783.24;-1.4000000000000001e-09;55111454.07;8443591.88;14016.15;0.0;;;;5348013.09;;;;;;51640.48;28101189.79;11116958.92;9146283.79;617816.28;;9548543.85;-7536443.53;-22026.07
C_838;0;AG;12529;68320;1972;1.0;GKV;4384786.36;4405058.0;32932274.64;584315.02;22350.95;24560.96;2210.01;606665.97;606665.97;594608.94;19948480.87;2579709.93;81607.22;131901.9;25391.33;45607.22;;480218.47;;;;;;11820109.54;8238473.86;7519183.22;6890565.23;319848.26;;1715798.67;-656122.2;-169655.66
C_495;0;Einzelfirma;12165;47730;1908;;GKV;110447820.8;110447820.8;125454998.7;54033808.08;-10293209.88;62152.95;10641194.38;43740598.2;43740598.2;28405998.52;1089218061.0;347515965.3;164735236.8;92222172.0;37432969.2;138192039.3;92222172.0;13968005.91;;;;;;454744489.7;35465651.58;8545183.94;5036615.09;516646.73;;130180923.1;-141977592.3;12567030.8
C_494;0;GmbH;13055;68201;1990;415.0;GKV;45180.42;45180.42;48477.05;22382.91;147.65;;2.77;22530.56;22530.56;15522.86;85195.0;5661.13;0.0;0.0;;;;;;;;;;79533.87;84847.7;80615.11;75679.79;;;18004.97;-378.71;0.0
C_300;0;GmbH;10969;68200;1991;2.0;GKV;150843501.3;147989371.3;107635928.5;47292997.11;-6693591.13;73961.45;11414398.77;40599405.98;40599405.98;29469951.72;1026294931.0;101671995.1;108761788.0;150123607.3;26577708.38;108614666.7;150123607.3;2949596.57;147121.35;;;;;665737540.8;84799087.11;31428071.92;11542490.91;326731.07;8000.0;40075554.85;-8337054.5;-34594274.52
C_453;0;GmbH;16792;78100;1991;;GKV;284342000.0;284342000.0;42335000.0;-134047000.0;810891000.0;891000.0;15925000.0;676844000.0;676844000.0;634226000.0;3202392000.0;285171000.0;503500.0;0.0;382000.0;;;6790000.0;;;;;;2883814000.0;422909000.0;431255000.0;21696000.0;448000.0;;586177000.0;-733975000.0;-95826000.0
C_924;0;GmbH;13125;86101;1991;283.0;GKV;9811590.89;9681039.95;6110979.73;3785872.48;-3041576.14;158111.31;3199687.45;744296.34;744296.34;1.0499999999999999e-09;95466637.12;18661041.49;42621000.0;13854918.86;14820000.0;41750000.0;9061442.95;229715.96;;;;;;20329676.77;7366730.2;5421664.66;322573.88;372298.68;;436938.61;-1879055.58;-13729379.17
C_976;0;GmbH;12681;71122;1999;;GKV;138459.52;138459.52;314703.03;170487.91;-1878.61;21980.74;23859.35;168609.3;168609.3;163542.42;2250866.32;698061.22;0.0;0.0;350566.8;;;689.06;;;;;;1552805.1;496696.93;45009.43;35726.57;;;194753.98;331830.61;-798859.83
C_854;0;GmbH;10997;47250;2001;;GKV;16193391.99;16193391.99;15489681.88;677798.86;76119.14;31798.06;46230.47;753918.0;753918.0;750000.0;21253492.42;2865310.26;363965.01;56163.78;;;;146773.04;;;;;;10750000.0;4472083.15;3729290.71;3425482.38;;;832535.95;502786.28;-4.66e-09
